longitude,latitude,time
42.452894,-76.426638,14:21:36
42.452888,-76.426579,14:21:38
42.452883,-76.426511,14:21:40
42.452861,-76.426393,14:21:44
42.452857,-76.426365,14:21:45
42.452848,-76.426228,14:21:50
42.452846,-76.426145,14:21:53
42.452849,-76.42602,14:21:57
42.452852,-76.42593,14:22:00
42.452836,-76.425881,14:22:02
42.45285,-76.42577,14:22:06
42.452862,-76.425686,14:22:09
42.452884,-76.425561,14:22:13
42.452898,-76.4255,14:22:15
42.452904,-76.425479,14:22:16
42.45291,-76.425447,14:22:17
42.452924,-76.425353,14:22:20
42.452933,-76.425302,14:22:22
42.452948,-76.425275,14:22:23
42.45296,-76.425208,14:22:25
42.452969,-76.42512,14:22:28
42.452971,-76.425087,14:22:29
42.45297,-76.424988,14:22:32
42.452987,-76.424894,14:22:35
42.452991,-76.424865,14:22:36
42.452996,-76.424704,14:22:41
42.452998,-76.424643,14:22:43
42.453009,-76.424521,14:22:47
42.453014,-76.424456,14:22:49
42.453019,-76.424423,14:22:50
42.453026,-76.424361,14:22:52
42.453033,-76.424334,14:22:53
42.453046,-76.424252,14:22:56
42.453049,-76.42418,14:22:59
42.45307,-76.424069,14:23:03
42.453075,-76.424004,14:23:05
42.453078,-76.423914,14:23:08
42.453101,-76.423823,14:23:12
42.453118,-76.423737,14:23:15
42.453133,-76.42365,14:23:18
42.45314,-76.423606,14:23:20
42.453164,-76.423559,14:23:22
42.453169,-76.423536,14:23:23
42.4532,-76.423399,14:23:28
42.4532,-76.423379,14:23:29
42.453207,-76.423263,14:23:33
42.453219,-76.423182,14:23:36
42.453223,-76.423155,14:23:37
42.453236,-76.42308,14:23:40
42.453241,-76.423031,14:23:42
42.453247,-76.422982,14:23:44
42.453252,-76.422955,14:23:45
42.453264,-76.42287,14:23:48
42.453277,-76.422808,14:23:50
42.45328,-76.422785,14:23:51
42.453296,-76.422737,14:23:53
42.453304,-76.422707,14:23:54
42.453316,-76.422658,14:23:56
42.453333,-76.422537,14:24:01
42.453334,-76.422517,14:24:02
42.453331,-76.422501,14:24:03
42.453329,-76.422493,14:24:04
42.453329,-76.422493,14:24:06
42.453329,-76.422493,14:24:08
42.453329,-76.422493,14:24:09
42.453329,-76.422493,14:24:52
42.453329,-76.422493,14:24:53
42.453334,-76.422478,14:24:57
42.453339,-76.422474,14:24:58
42.453347,-76.42246,14:24:59
42.45337,-76.422394,14:25:02
42.453375,-76.422363,14:25:03
42.453384,-76.422269,14:25:06
42.453405,-76.422191,14:25:09
42.453411,-76.422169,14:25:10
42.453419,-76.422146,14:25:11
42.453427,-76.422122,14:25:12
42.453446,-76.422062,14:25:14
42.453452,-76.422033,14:25:15
42.453455,-76.422005,14:25:16
42.453459,-76.421922,14:25:19
42.453463,-76.421891,14:25:20
42.453475,-76.42183,14:25:22
42.453498,-76.421735,14:25:25
42.453522,-76.421645,14:25:28
42.453528,-76.42156,14:25:31
42.453531,-76.42154,14:25:32
42.453534,-76.421518,14:25:33
42.453555,-76.421411,14:25:37
42.453559,-76.421386,14:25:38
42.453565,-76.421329,14:25:40
42.45358,-76.42128,14:25:42
42.453579,-76.421145,14:25:47
42.453582,-76.421117,14:25:48
42.453613,-76.420944,14:25:54
42.453617,-76.420885,14:25:56
42.453652,-76.420624,14:26:05
42.453667,-76.420532,14:26:08
42.453678,-76.42048,14:26:10
42.453694,-76.420416,14:26:13
42.453694,-76.420408,14:26:18
42.453707,-76.420183,14:30:45
42.453707,-76.420183,14:30:46
42.453708,-76.420138,14:30:48
42.453714,-76.42007,14:30:50
42.453738,-76.419884,14:30:54
42.453761,-76.419484,14:31:03
42.45377,-76.419222,14:31:09
42.45379,-76.418901,14:31:15
42.453808,-76.418663,14:31:19
42.453818,-76.418506,14:31:22
42.453822,-76.418423,14:31:24
42.453834,-76.418231,14:31:28
42.453836,-76.41818,14:31:29
42.453844,-76.418021,14:31:32
42.453857,-76.417727,14:31:38
42.453864,-76.417573,14:31:41
42.453874,-76.417299,14:31:46
42.453883,-76.416986,14:31:52
42.453883,-76.416934,14:31:53
42.453892,-76.416822,14:31:55
42.453904,-76.416542,14:32:00
42.453914,-76.416427,14:32:02
42.45393,-76.416186,14:32:06
42.453933,-76.416007,14:32:09
42.453944,-76.415524,14:32:17
42.453954,-76.415336,14:32:20
42.453975,-76.414902,14:32:26
42.453977,-76.41482,14:32:27
42.453983,-76.414652,14:32:29
42.454001,-76.414232,14:32:34
42.454016,-76.41394,14:32:38
42.454024,-76.413797,14:32:41
42.45404,-76.413427,14:32:45
42.45405,-76.413352,14:32:46
42.454089,-76.412896,14:32:52
42.454094,-76.412808,14:32:53
42.4541,-76.412711,14:32:54
42.45411,-76.412402,14:32:57
42.454114,-76.412174,14:32:59
42.454118,-76.411936,14:33:01
42.454129,-76.411438,14:33:05
42.454132,-76.411315,14:33:06
42.45414,-76.41097,14:33:09
42.454151,-76.410753,14:33:11
42.454157,-76.41055,14:33:13
42.45417,-76.409929,14:33:20
42.454189,-76.409454,14:33:26
42.454193,-76.409307,14:33:28
42.454196,-76.409233,14:33:29
42.454196,-76.409014,14:33:32
42.454203,-76.408794,14:33:35
42.454208,-76.408725,14:33:36
42.454219,-76.408397,14:33:41
42.454221,-76.408226,14:33:44
42.454236,-76.407768,14:33:52
42.454253,-76.407461,14:33:57
42.454264,-76.407179,14:34:01
42.454277,-76.406948,14:34:04
42.45428,-76.406866,14:34:05
42.454284,-76.406783,14:34:06
42.454292,-76.406615,14:34:08
42.454293,-76.406527,14:34:09
42.454298,-76.406357,14:34:11
42.454308,-76.406101,14:34:14
42.454318,-76.405925,14:34:16
42.454342,-76.405398,14:34:21
42.454353,-76.405035,14:34:24
42.45436,-76.404783,14:34:26
